descricao_produto;cod_prod;subgrupo;CB_DIEESE;CB_ACT;CB_MDS;Alim_desc1;Alim_desc2;IS_UPP;IS;IBS/CBS - 25% - Tax Burden;IBS/CBS - 25% - % General Tax Regime;IBS/CBS - 25% Impacts;IBS/CBS - 25% Value;IBS/CBS - 25% - % Simples Tax Regime;IBS/CBS - 25% Simples Impacts;IBS/CBS - 25% Simples Value;IBS/CBS - 26.9% - Tax Burden;IBS/CBS - 26.9% - % General Tax Regime;IBS/CBS - 26.9% Impacts;IBS/CBS - 26.9% Value;IBS/CBS - 26.9% - % Simples Tax Regime;IBS/CBS - 26.9% Simples Impacts;IBS/CBS - 26.9% Simples Value
ABACATE;6802701;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;31970965.02;0.096867209;0.122005556;3393111.539;0.066169971;0.903132791;0.15114333;32456923.69;0.096867209;0.136140333;3435857.205
ABACAXI;6802601;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;50638431.71;0.096867209;0.122005556;5374309.059;0.066169971;0.903132791;0.15114333;51408135.88;0.096867209;0.136140333;5442013.412
ABACAXI CAIANO;6802603;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;313331.4106;0.096867209;0.122005556;33254.18623;0.066169971;0.903132791;0.15114333;318094.0481;0.096867209;0.136140333;33673.11509
ABACAXI DESIDRATADO;6902419;Demais alimentos;0;0;0;0;0;0;0;0.301670591;0.903132791;-0.129792374;45189.57022;0.096867209;0.058449145;5895.362275;0.301670591;0.903132791;-0.116565218;45876.45169;0.096867209;0.069646513;5957.729503
ABACAXI EM CALDA;6901306;Demais alimentos;0;0;0;0;1;0;0;0.281445614;0.903132791;-0.109531079;578001.5968;0.096867209;0.037576966;72236.34603;0.281445614;0.903132791;-0.095995952;586787.221;0.096867209;0.048463966;72994.30141
ABACAXI ORGANICO;6810301;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;48573.42662;0.096867209;0.122005556;5155.147936;0.066169971;0.903132791;0.15114333;49311.7427;0.096867209;0.136140333;5220.091345
ABACAXI PEROLA;6802604;Outras frutas;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;8619298.869;0.096867209;0.122005556;914775.0913;0.066169971;0.903132791;0.15114333;8750312.212;0.096867209;0.136140333;926299.2249
ABADA;4502501;Recreações e esportes;0;0;0;0;0;0;0;0.127915708;0.611081979;0.077254483;8188280.721;0.388918021;-0.002531803;4825386.01;0.127915708;0.611081979;0.093628751;8312742.588;0.388918021;-0.001263549;4831521.361
ABAJUR;1800603;Mobiliario e artigos do  lar;0;0;0;0;0;0;0;0.316921708;0.461240217;-0.146627576;11354.93916;0.538759783;-0.054521085;14694.8804;0.316921708;0.461240217;-0.133656315;11527.53423;0.538759783;-0.046622131;14817.648
ABARA;2400724;Sanduíches e salgados;0;0;0;0;0;0;0;0.15153733;0.341247769;0.032066125;150689.3071;0.658752231;0.005468894;283397.3798;0.15153733;0.341247769;0.04775353;152979.7845;0.658752231;0.010537354;284825.9552
ABARA PARA VIAGEM;8500212;Demais alimentos;0;0;0;0;0;0;0;0.134599492;0.341247769;0.06483747;37290.45965;0.658752231;0.028719146;69544.61599;0.134599492;0.341247769;0.081023;37857.27463;0.658752231;0.034221003;69916.55865
ABOBORA;6703901;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;11876235.5;0.096867209;0.122005556;1260437.14;0.066169971;0.903132791;0.15114333;12056754.28;0.096867209;0.136140333;1276315.847
ABOBORA BAIANA;6703404;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;425498.1124;0.096867209;0.122005556;45158.55414;0.066169971;0.903132791;0.15114333;431965.6837;0.096867209;0.136140333;45727.45158
ABOBORA BAIANINHA (ABOBRINHA);6703706;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;43375.31192;0.096867209;0.122005556;4603.466654;0.066169971;0.903132791;0.15114333;44034.61666;0.096867209;0.136140333;4661.460105
ABOBORA CABOCLO;6703809;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;31313.83086;0.096867209;0.122005556;3323.369211;0.066169971;0.903132791;0.15114333;31789.80109;0.096867209;0.136140333;3365.236279
ABOBORA CABOTIA;6706502;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;2177454.858;0.096867209;0.122005556;231095.533;0.066169971;0.903132791;0.15114333;2210552.172;0.096867209;0.136140333;234006.8233
ABOBORA CABOTIAN;6706501;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;1484740.894;0.096867209;0.122005556;157577.0846;0.066169971;0.903132791;0.15114333;1507308.956;0.096867209;0.136140333;159562.2058
ABOBORA CABUTIA;6706503;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;399127.6077;0.096867209;0.122005556;42359.82524;0.066169971;0.903132791;0.15114333;405194.3474;0.096867209;0.136140333;42893.46492
ABOBORA CARNEIRA;6703304;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;99779.54193;0.096867209;0.122005556;10589.70584;0.066169971;0.903132791;0.15114333;101296.191;0.096867209;0.136140333;10723.11261
ABOBORA COMUM;6703902;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;2269108.664;0.096867209;0.122005556;240822.8462;0.066169971;0.903132791;0.15114333;2303599.116;0.096867209;0.136140333;243856.679
ABOBORA DA BAHIA;6703406;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;33341.75297;0.096867209;0.122005556;3538.594679;0.066169971;0.903132791;0.15114333;33848.54761;0.096867209;0.136140333;3583.17311
ABOBORA DAGUA;6703604;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;114967.1282;0.096867209;0.122005556;12201.58005;0.066169971;0.903132791;0.15114333;116714.6285;0.096867209;0.136140333;12355.29285
ABOBORA DE AGUA;6703601;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;245071.4493;0.096867209;0.122005556;26009.68603;0.066169971;0.903132791;0.15114333;248796.5353;0.096867209;0.136140333;26337.35028
ABOBORA DE CABOCLO;6703802;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;117396.6923;0.096867209;0.122005556;12459.43221;0.066169971;0.903132791;0.15114333;119181.1221;0.096867209;0.136140333;12616.39337
ABOBORA DE LEITE;6703810;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;167841.1185;0.096867209;0.122005556;17813.15126;0.066169971;0.903132791;0.15114333;170392.3035;0.096867209;0.136140333;18037.55739
ABOBORA DE PESCOCO;6703801;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;329005.9764;0.096867209;0.122005556;34917.74409;0.066169971;0.903132791;0.15114333;334006.8672;0.096867209;0.136140333;35357.63008
ABOBORA DE PORCO;6703305;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;173028.9006;0.096867209;0.122005556;18363.73594;0.066169971;0.903132791;0.15114333;175658.9399;0.096867209;0.136140333;18595.07821
ABOBORA DO SERTAO;6703803;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;11780.78025;0.096867209;0.122005556;1250.306375;0.066169971;0.903132791;0.15114333;11959.84811;0.096867209;0.136140333;1266.057457
ABOBORA GIGANTE;6703403;Legumes e verduras;0;1;1;1;0;0;0;0.066169971;0.903132791;0.133907929;18773.66561;0.096867209;0.122005556;1992.468521;0.066169971;0.903132791;0.15114333;19059.02533;0.096867209;0.136140333;2017.569198
